id,floor,number,category,status
f90a0ff3dbea11eb829b9828a6410061,1,1,df0e3936dbe811eb829b9828a6410061,15991f27dbe911eb829b9828a6410061
f90aad36dbea11eb829b9828a6410061,2,3,dee74f97dbe811eb829b9828a6410061,158afd99dbe911eb829b9828a6410061
f90b59dfdbea11eb829b9828a6410061,18,6,dee74f97dbe811eb829b9828a6410061,15a5406edbe911eb829b9828a6410061
f90c02e7dbea11eb829b9828a6410061,12,8,dea6ae2adbe811eb829b9828a6410061,159e6deadbe911eb829b9828a6410061
f90cb2dedbea11eb829b9828a6410061,18,8,df19b69adbe811eb829b9828a6410061,15ac0168dbe911eb829b9828a6410061
f90d86d7dbea11eb829b9828a6410061,2,4,df14d470dbe811eb829b9828a6410061,15aacba6dbe911eb829b9828a6410061
f90e2501dbea11eb829b9828a6410061,1,9,deffb8acdbe811eb829b9828a6410061,158d212adbe911eb829b9828a6410061
f90ebe0edbea11eb829b9828a6410061,20,3,dea6ae2adbe811eb829b9828a6410061,1580ec44dbe911eb829b9828a6410061
f90fa6fddbea11eb829b9828a6410061,20,6,df0f6467dbe811eb829b9828a6410061,15938894dbe911eb829b9828a6410061
f9104b61dbea11eb829b9828a6410061,8,3,df18603ddbe811eb829b9828a6410061,15bee824dbe911eb829b9828a6410061
f910f732dbea11eb829b9828a6410061,5,1,df00fd88dbe811eb829b9828a6410061,1583bebadbe911eb829b9828a6410061
f911d479dbea11eb829b9828a6410061,1,2,df1f432cdbe811eb829b9828a6410061,15a96424dbe911eb829b9828a6410061
f91283fadbea11eb829b9828a6410061,8,4,df14d470dbe811eb829b9828a6410061,15b5c270dbe911eb829b9828a6410061
f9153af6dbea11eb829b9828a6410061,7,7,df130148dbe811eb829b9828a6410061,15af5b11dbe911eb829b9828a6410061
f915e88edbea11eb829b9828a6410061,4,5,df109b61dbe811eb829b9828a6410061,15be23b9dbe911eb829b9828a6410061
f916913fdbea11eb829b9828a6410061,17,10,df1c3e8cdbe811eb829b9828a6410061,158e72b3dbe911eb829b9828a6410061
f9171ec3dbea11eb829b9828a6410061,4,10,def542e1dbe811eb829b9828a6410061,15a29552dbe911eb829b9828a6410061
f917ba6cdbea11eb829b9828a6410061,16,10,df03de68dbe811eb829b9828a6410061,15ab7d90dbe911eb829b9828a6410061
f9185424dbea11eb829b9828a6410061,7,1,df1d66e6dbe811eb829b9828a6410061,15aded05dbe911eb829b9828a6410061
f918ebffdbea11eb829b9828a6410061,11,3,deab0262dbe811eb829b9828a6410061,15a29552dbe911eb829b9828a6410061
f9197be2dbea11eb829b9828a6410061,16,2,deef1ea8dbe811eb829b9828a6410061,15a18057dbe911eb829b9828a6410061
f91a1130dbea11eb829b9828a6410061,6,9,df02b82edbe811eb829b9828a6410061,15b7899adbe911eb829b9828a6410061
f91add1ddbea11eb829b9828a6410061,6,4,df0c83a8dbe811eb829b9828a6410061,158afd99dbe911eb829b9828a6410061
f91b780cdbea11eb829b9828a6410061,9,8,df145780dbe811eb829b9828a6410061,15a29552dbe911eb829b9828a6410061
f91c0b40dbea11eb829b9828a6410061,1,3,defbe733dbe811eb829b9828a6410061,1580ec44dbe911eb829b9828a6410061
f91cbdf7dbea11eb829b9828a6410061,18,4,defa4c87dbe811eb829b9828a6410061,159d32e4dbe911eb829b9828a6410061
f91d8664dbea11eb829b9828a6410061,12,2,defb67d2dbe811eb829b9828a6410061,15938894dbe911eb829b9828a6410061
f91e2cb0dbea11eb829b9828a6410061,20,1,def158abdbe811eb829b9828a6410061,15b2588bdbe911eb829b9828a6410061
f91eda10dbea11eb829b9828a6410061,10,10,df03de68dbe811eb829b9828a6410061,15bda826dbe911eb829b9828a6410061
f91f9497dbea11eb829b9828a6410061,14,2,defe7909dbe811eb829b9828a6410061,15b1c9fddbe911eb829b9828a6410061
f9204242dbea11eb829b9828a6410061,8,7,a95caa96dbe811eb829b9828a6410061,15aff17bdbe911eb829b9828a6410061
f920e65ddbea11eb829b9828a6410061,2,4,df112bc4dbe811eb829b9828a6410061,158a52dbdbe911eb829b9828a6410061
f9219587dbea11eb829b9828a6410061,10,1,dee7f1c7dbe811eb829b9828a6410061,15a5e6bcdbe911eb829b9828a6410061
f923009bdbea11eb829b9828a6410061,1,10,df1267a7dbe811eb829b9828a6410061,158d212adbe911eb829b9828a6410061
f923b1dcdbea11eb829b9828a6410061,6,7,df09e75fdbe811eb829b9828a6410061,158c698bdbe911eb829b9828a6410061
f92448a3dbea11eb829b9828a6410061,17,6,df022610dbe811eb829b9828a6410061,158f0200dbe911eb829b9828a6410061
f924dbcddbea11eb829b9828a6410061,12,1,df0c83a8dbe811eb829b9828a6410061,15b13197dbe911eb829b9828a6410061
f925863bdbea11eb829b9828a6410061,4,9,df13a35adbe811eb829b9828a6410061,15a82f85dbe911eb829b9828a6410061
f9260ef0dbea11eb829b9828a6410061,7,8,df076de8dbe811eb829b9828a6410061,15bda826dbe911eb829b9828a6410061
f926bddadbea11eb829b9828a6410061,12,3,deffb8acdbe811eb829b9828a6410061,1595460fdbe911eb829b9828a6410061
f92759f7dbea11eb829b9828a6410061,4,10,dee8a87fdbe811eb829b9828a6410061,1596b69bdbe911eb829b9828a6410061
f9281dc4dbea11eb829b9828a6410061,18,10,df16bcffdbe811eb829b9828a6410061,15903a83dbe911eb829b9828a6410061
f928c3e9dbea11eb829b9828a6410061,15,8,defb67d2dbe811eb829b9828a6410061,15833c54dbe911eb829b9828a6410061
f9296ae6dbea11eb829b9828a6410061,8,6,df06cd62dbe811eb829b9828a6410061,158618e0dbe911eb829b9828a6410061
f92a039bdbea11eb829b9828a6410061,8,8,df022610dbe811eb829b9828a6410061,15a5406edbe911eb829b9828a6410061
f92aaae5dbea11eb829b9828a6410061,1,2,df20c090dbe811eb829b9828a6410061,1586c4b8dbe911eb829b9828a6410061
f92b5b6edbea11eb829b9828a6410061,16,8,def9cb80dbe811eb829b9828a6410061,15c1643edbe911eb829b9828a6410061
f92bef37dbea11eb829b9828a6410061,17,4,df06cd62dbe811eb829b9828a6410061,15879486dbe911eb829b9828a6410061
f92c90b1dbea11eb829b9828a6410061,10,1,df022610dbe811eb829b9828a6410061,159dd09adbe911eb829b9828a6410061
f92d5111dbea11eb829b9828a6410061,8,6,deffb8acdbe811eb829b9828a6410061,15b51cf3dbe911eb829b9828a6410061
f92dd932dbea11eb829b9828a6410061,4,2,a95caa96dbe811eb829b9828a6410061,15a29552dbe911eb829b9828a6410061
f92e5ac4dbea11eb829b9828a6410061,3,8,df0d2f3bdbe811eb829b9828a6410061,15991f27dbe911eb829b9828a6410061
f92f2dcddbea11eb829b9828a6410061,2,1,df19b69adbe811eb829b9828a6410061,1581b275dbe911eb829b9828a6410061
f92fd4d7dbea11eb829b9828a6410061,9,1,deef1ea8dbe811eb829b9828a6410061,15a03e0edbe911eb829b9828a6410061
f9307782dbea11eb829b9828a6410061,8,8,dee3e892dbe811eb829b9828a6410061,1595460fdbe911eb829b9828a6410061
f931163cdbea11eb829b9828a6410061,5,4,a95caa96dbe811eb829b9828a6410061,15b303c8dbe911eb829b9828a6410061
f931b25bdbea11eb829b9828a6410061,6,2,df1d66e6dbe811eb829b9828a6410061,15a31a26dbe911eb829b9828a6410061
f9325467dbea11eb829b9828a6410061,4,4,def37315dbe811eb829b9828a6410061,1589a7c6dbe911eb829b9828a6410061
f932e69bdbea11eb829b9828a6410061,15,8,dee8a87fdbe811eb829b9828a6410061,1596b69bdbe911eb829b9828a6410061
f9339131dbea11eb829b9828a6410061,14,4,def88671dbe811eb829b9828a6410061,159204fbdbe911eb829b9828a6410061
f9344e5fdbea11eb829b9828a6410061,6,9,def2d771dbe811eb829b9828a6410061,15a67d98dbe911eb829b9828a6410061
f935013bdbea11eb829b9828a6410061,5,5,deec66a1dbe811eb829b9828a6410061,15b6f9a8dbe911eb829b9828a6410061
f935b365dbea11eb829b9828a6410061,6,4,deff225fdbe811eb829b9828a6410061,159d32e4dbe911eb829b9828a6410061
f93653d0dbea11eb829b9828a6410061,19,6,def88671dbe811eb829b9828a6410061,1588eb48dbe911eb829b9828a6410061
f936fc99dbea11eb829b9828a6410061,14,7,def0692ddbe811eb829b9828a6410061,15903a83dbe911eb829b9828a6410061
f937a554dbea11eb829b9828a6410061,5,1,deb6b960dbe811eb829b9828a6410061,15a3e461dbe911eb829b9828a6410061
f93842dadbea11eb829b9828a6410061,1,8,df112bc4dbe811eb829b9828a6410061,15a18057dbe911eb829b9828a6410061
f938e473dbea11eb829b9828a6410061,2,9,deeaf381dbe811eb829b9828a6410061,15803632dbe911eb829b9828a6410061
